# generated with code/opcodes.py
1:0x0 : ...
1:0x1 : 01                   	.byte 0x1
8:0xb1 : b1 b1                	mov    $0xb1,%cl
8:0xb2 : b2 b2                	mov    $0xb2,%dl
8:0xb3 : b3 b3                	mov    $0xb3,%bl
8:0xb4 : b4 b4                	mov    $0xb4,%ah
8:0xb5 : b5 b5                	mov    $0xb5,%ch
8:0xb6 : b6 b6                	mov    $0xb6,%dh
8:0xb7 : b7 b7                	mov    $0xb7,%bh
8:0xb8 : b8                   	.byte 0xb8
8:0xb9 : b9                   	.byte 0xb9
8:0xba : ba                   	.byte 0xba
8:0xbb : bb                   	.byte 0xbb
8:0xbc : bc                   	.byte 0xbc
8:0xbd : bd                   	.byte 0xbd
8:0xbe : be                   	.byte 0xbe
8:0xbf : bf                   	.byte 0xbf
8:0xc0 : c0                   	.byte 0xc0
8:0xc1 : c1                   	.byte 0xc1
8:0xc2 : c2                   	.byte 0xc2
8:0xc3 : c3                   	retq
8:0xc4 : c4                   	.byte 0xc4
8:0xc5 : c5                   	.byte 0xc5
8:0xc6 : c6                   	.byte 0xc6
8:0xc7 : c7                   	.byte 0xc7
8:0xc8 : c8 c8 c8 c8          	enterq $0xc8c8,$0xc8
8:0xc9 : c9                   	leaveq
8:0xca : ca                   	.byte 0xca
8:0xcb : cb                   	lret
8:0xcc : cc                   	int3
8:0xcd : cd cd                	int    $0xcd
8:0xce : ce                   	(bad)
8:0xcf : cf                   	iret
8:0xd0 : d0 d0                	rcl    %al
8:0xd1 : d1 d1                	rcl    %ecx
8:0xd2 : d2 d2                	rcl    %cl,%dl
8:0xd3 : d3 d3                	rcl    %cl,%ebx
8:0xd4 : d4                   	(bad)
8:0xd5 : d5                   	(bad)
8:0xd6 : d6                   	(bad)
8:0xd7 : d7                   	xlat   %ds
8:0xd8 : d8 d8                	fcomp  %st(0)
8:0xd9 : d9 d9                	(bad)
8:0xda : da da                	fcmovu %st(2),%st
8:0xdb : db db                	fcmovnu %st(3),%st
8:0xdc : dc dc                	(bad)
8:0xdd : dd dd                	fstp   %st(5)
8:0xde : de de                	(bad)
8:0xdf : df df                	(bad)
8:0xe0 : e0 e0                	loopne 400068 <_start-0x18>
8:0xe1 : e1 e1                	loope  400069 <_start-0x17>
8:0xe2 : e2 e2                	loop   40006a <_start-0x16>
8:0xe3 : e3 e3                	jrcxz  40006b <_start-0x15>
8:0xe4 : e4 e4                	in     $0xe4,%al
8:0xe5 : e5 e5                	in     $0xe5,%eax
8:0xe6 : e6 e6                	out    %al,$0xe6
8:0xe7 : e7 e7                	out    %eax,$0xe7
8:0xe8 : e8                   	.byte 0xe8
8:0xe9 : e9                   	.byte 0xe9
8:0xea : ea                   	(bad)
8:0xeb : eb eb                	jmp    400073 <_start-0xd>
8:0xec : ec                   	in     (%dx),%al
8:0xed : ed                   	in     (%dx),%eax
8:0xee : ee                   	out    %al,(%dx)
8:0xef : ef                   	out    %eax,(%dx)
8:0xf0 : f0                   	lock
8:0xf1 : f1                   	icebp
8:0xf2 : f2                   	repnz
8:0xf3 : f3                   	repz
8:0xf4 : f4                   	hlt
8:0xf5 : f5                   	cmc
8:0xf6 : f6 f6                	div    %dh
8:0xf7 : f7 f7                	div    %edi
8:0xf8 : f8                   	clc
8:0xf9 : f9                   	stc
8:0xfa : fa                   	cli
8:0xfb : fb                   	sti
8:0xfc : fc                   	cld
8:0xfd : fd                   	std
8:0xfe : fe                   	.byte 0xfe
8:0xff : ff                   	.byte 0xff
